time_milisecc,gx,gy,gz
1421632167241.00,-2.5697646,-0.86333877,-0.81537575
1421632167260.00,-2.473838,-1.0018996,-0.61819345
1421632167278.00,-2.7317736,-1.644607,-0.3943649
1421632167299.00,-3.1730359,-2.6656911,-0.4625791
1421632167318.00,-3.0941627,-3.2657647,-1.0829041
1421632167339.00,-3.200748,-0.44126236,-1.4165149
1421632167359.00,-2.63265,2.9364164,-0.7205148
1421632167379.00,-1.308864,4.9167657,-0.37944293
1421632167398.00,-0.057556238,4.0875344,-1.4783343
1421632167419.00,-0.71092236,-1.0743773,-2.0048642
1421632167438.00,-0.9805823,-2.9833143,-1.5977094
1421632167463.00,-0.33680892,-2.303302,-0.71092236
1421632167481.00,0.27179158,-2.358726,-0.18439221
1421632167498.00,0.7802021,-1.9654275,0.23342101
1421632167519.00,1.8716323,-0.8921166,0.6139292
1421632167577.00,3.1016233,0.4689736,0.99124
1421632167578.00,3.6366796,1.5380213,1.0754426
1421632167579.00,1.923859,2.407755,0.48389584
1421632167598.00,-2.3001046,2.2532065,-0.6938685
1421632167618.00,-0.48815957,5.9112034,-0.9336848
1421632167639.00,-0.2717921,3.499185,-0.24727744
1421632167658.00,-1.5220342,1.9259907,0.19611599
1421632167678.00,0.14708692,0.06608235,1.7202817
1421632167700.00,0.44659054,-1.0317432,1.4708726
1421632167722.00,-0.18012902,-0.02238307,2.376845
1421632167738.00,1.418646,-4.0193205,2.4002938
1421632167759.00,4.504282,-5.8909535,1.6467379
1421632167779.00,3.5460823,1.1393932,0.9304869
1421632167798.00,2.8554118,2.1668727,-0.10019025
1421632167818.00,3.322254,0.8217698,-0.42527434
1421632167882.00,1.9984683,0.62565374,0.27179158
1421632167882.00,0.64164126,-0.741832,0.13536288
1421632167883.00,-0.2248949,-0.5627688,0.34959874
1421632167898.00,-0.5275962,-0.6320494,0.551044
1421632167918.00,-1.9867448,0.027712055,0.12577018
1421632167938.00,-2.4194796,-0.57236207,-0.6981322
1421632167958.00,-2.4930232,-0.6576298,-0.7802026
1421632167978.00,-2.8191736,-1.2982059,-0.6459055
1421632167998.00,-3.2753575,-2.7541568,-0.67148596
1421632168018.00,-3.101624,-3.6931705,-1.2161351
1421632168039.00,-3.3520987,-1.1671062,-1.5007168
1421632168059.00,-2.7903957,2.5623028,-0.7301075
1421632168078.00,-1.487927,4.913568,-0.24088213
1421632168103.00,-0.2749895,3.0451329,-1.9867448
1421632168121.00,-1.1756327,-2.0837371,-2.4951553
1421632168138.00,-0.8835897,-2.6262546,-1.5188365
1421632168159.00,-0.4934891,-2.9811828,-0.7492926
1421632168232.00,0.12790178,-2.844754,-0.30163574
1421632168232.00,0.7482263,-2.3907018,0.056489907
1421632168233.00,1.6307502,-1.0871674,0.35919118
1421632168244.00,3.008894,0.82816505,0.5627683
1421632168264.00,3.761384,1.93132,0.7023949
1421632168279.00,3.3339787,2.150885,1.2598342
1421632168299.00,-2.0006008,1.413317,-0.11404615
1421632168319.00,-2.3011703,3.735804,-1.1703035
1421632168339.00,0.28138402,4.647105,-0.85800976
1421632168362.00,-1.813011,1.2939415,-0.15241697
1421632168379.00,-0.3506651,0.06927974,1.7245449
1421632168399.00,0.16414073,-0.91982865,1.4079875
1421632168418.00,-0.33680892,0.36984968,1.8183398
1421632168439.00,0.64164126,-1.772509,2.5271301
1421632168458.00,3.5109096,-5.089434,1.695767
1421632168478.00,4.8283005,-2.4002945,1.2086735
1421632168547.00,2.8703337,1.9366492,0.7439631
1421632168548.00,3.2135375,1.1756322,-0.050095126
1421632168548.00,3.1208086,0.843087,-0.017053818
1421632168558.00,1.7415985,0.99976695,0.20037943
1421632168578.00,0.29630622,-0.9827139,0.14602113
1421632168598.00,-0.17586558,-0.5382547,0.39756176
1421632168618.00,-0.9592653,-0.1961165,0.4689736
1421632168640.00,-2.1029222,-0.4199451,-0.18119483
1421632168662.00,-2.3757799,-1.3824078,-0.735437
1421632168678.00,-2.3981626,-1.5177706,-0.65869564
1421632168698.00,-2.7296422,-2.0826714,-0.48709375
1421632168718.00,-3.164509,-2.5175378,-0.29737255
1421632168743.00,-3.0099607,-2.2318902,-0.6043373
1421632168760.00,-3.476803,-0.7961904,-1.9046744
1421632168778.00,-3.1453235,1.4079875,-1.6904386
1421632168799.00,-2.06242,3.9010105,-0.4082208
1421632168818.00,-0.7173174,4.005464,-0.6064689
1421632168900.00,-0.53932047,-1.1308671,-2.5814888
1421632168900.00,-0.9581995,-3.2327235,-1.8726987
1421632168901.00,-0.3986281,-2.6422424,-0.968858
1421632168901.00,0.13003337,-2.7104568,-0.62458825
1421632168918.00,0.7162511,-2.5782914,-0.12150726
1421632169005.00,1.552943,-1.4047909,0.21530166
