time_millisec,ax,ay,az
1421714478002.00,-1.0925779,3.1998959,9.559272
1421714478025.00,-1.0907817,3.0928683,9.272917
1421714478043.00,-1.2284954,3.203638,9.504785
1421714478077.00,-1.0895842,3.2129188,9.621991
1421714478082.00,-1.2578343,3.4112563,9.532627
1421714478144.00,-1.4425502,3.341202,9.277857
1421714478144.00,-1.3445041,3.4605038,9.291179
1421714478145.00,-1.6615448,3.4352064,9.271121
1421714478183.00,-1.7275575,3.5817518,9.236992
1421714478184.00,-1.695075,3.6092944,9.200169
1421714478212.00,-1.4186,3.54897,9.082962
1421714478221.00,-1.6214283,3.5290613,9.162297
1421714478248.00,-1.6173866,3.5254688,9.252708
1421714478285.00,-1.3600717,3.3982334,9.287886
1421714478286.00,-1.3792319,3.1278956,9.385034
1421714478322.00,-1.3765374,3.4111066,9.407038
1421714478323.00,-1.3784834,3.488795,9.386381
1421714478341.00,-1.424887,3.6780016,8.285271
1421714478379.00,-1.6328045,3.84221,9.551488
1421714478383.00,-1.2750485,3.3644037,9.605675
1421714478410.00,-1.5572118,3.8299356,9.094039
1421714478422.00,-1.6551082,3.580105,9.334589
1421714478471.00,-1.3486954,3.5516644,9.170529
1421714478472.00,-1.3049862,3.5203793,9.0551195
1421714478483.00,-1.2998968,3.6932697,9.141789
1421714478503.00,-1.367107,3.465294,9.182355
1421714478521.00,-1.2994478,3.2736924,9.232202
1421714478541.00,-1.2449611,3.2844698,9.388177
1421714478565.00,-1.3771362,3.4567616,9.425449
1421714478584.00,-1.344055,3.3673975,9.416319
1421714478604.00,-1.2323872,3.36141,9.322165
1421714478624.00,-1.3844709,3.4500256,9.329499
1421714478644.00,-1.5271243,3.6286042,9.325757
1421714478664.00,-1.4307247,3.6495607,9.31992
1421714478686.00,-1.4485377,3.441643,9.262289
1421714478707.00,-1.2772938,3.4539175,9.175619
1421714478724.00,-1.2672647,3.3991315,9.121881
1421714478744.00,-1.0951227,3.3591645,9.379046
1421714478764.00,-1.2135265,3.3418007,9.683213
1421714478783.00,-1.1174263,3.3000376,9.631271
1421714478804.00,-1.1091934,3.2216005,9.5440035
1421714478825.00,-0.959355,3.288212,9.44925
1421714478844.00,-0.9517209,3.3760793,9.378597
